trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-56.264365755703444,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-74.2580093909169,"{0: 26, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,13,-19.844447365091433,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-98.99335244162596,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-98.32722772121774,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.5188781782552,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-99.962430341737,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-108.09704227577147,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-89.60339123493107,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-38.541816616152516,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,4,10.65062017101498,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-17.31298467071517,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-143.91981801030244,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-63.221391129495,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-111.37629070892226,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-60.468493307579415,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-36.37973348615777,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,7.827401059061596,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-75.99175302506484,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,18.91483906540955,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-42.84352636122298,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,31.39356441721624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,7,-54.41732618684548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,27.907397381218242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,15.184676037574565,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,19,9.5761654906143,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,0,11.678014074098071,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,6,-70.19559701335304,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,6,-53.57508088040494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-13.458529386217835,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
