trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-156.60029628144636,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.9969481245081507}",20,0,-116.38912794832649,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9939055629603193}",20,0,2.023446735056214,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9908722869315081}",20,0,-66.27580248159724,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.9878482680834691}",25,0,-119.14001094824306,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.9848334781644396}",20,0,-94.51100511857038,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9818278890088769}",25,0,-23.805580547564368,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9788314725371966}",25,0,-59.907407586367746,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9758442007555096}",25,0,-79.5728274595876,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9728660457553607}",20,0,-30.636276995928494,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9698969797134677}",20,0,-57.91095201274517,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.9669369748914615}",25,7,-33.88393038579195,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.9, 'e': 0.9639860036356274}",20,0,-108.38752397225771,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.9, 'e': 0.9610440383766462}",20,16,5.8865874530526945,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.9581110516293366}",20,14,10.585415625232615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.9551870159923992}",20,0,20.511629575093448,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.9522719041481594}",30,1,-25.188183696823607,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.949365688862313}",20,0,-2.037231033932684,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.9464683429836716}",20,0,13.339655112417963,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.9435798394439086}",20,9,0.7549469868328624,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.9407001512573067}",20,6,-27.93103419572501,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.9378292515205056}",25,7,-36.31917535105357,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.9, 'e': 0.9349671134122508}",25,10,19.696048018711352,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.932113710193143}",20,0,19.694061000783968,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.9292690152053878}",20,0,-10.33142205844985,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.9264330018725476}",25,0,-86.25286106838321,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9236056436992925}",25,10,29.508861321241202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.920786914271153}",20,0,-78.44949011412112,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9179767872542735}",25,0,-34.69298537066221,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.9, 'e': 0.9151752363951656}",35,17,24.254661108902177,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.9123822355204638}",20,0,6.235681978307882,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.9095977585366803}",20,3,23.869948679923294,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
