trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-67.27141523778734,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9969481245081507}",30,0,-179.97968688697895,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9939055629603193}",25,0,-129.7212337269526,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.9908722869315081}",25,0,-136.13159232706897,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.9878482680834691}",30,0,-128.04552348221085,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.9848334781644396}",25,0,-114.99093947125307,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9818278890088769}",20,0,-109.07100702859685,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9788314725371966}",20,0,-110.69349446790063,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9758442007555096}",25,0,-99.78313304417209,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9728660457553607}",25,0,-104.6189169403597,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.9698969797134677}",25,0,-138.81877938411944,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.9669369748914615}",25,0,-112.92303992424839,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.9639860036356274}",20,0,-101.49629397031157,"{0: 11, 1: 7, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.9610440383766462}",25,0,-110.47414447326102,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.9581110516293366}",20,0,-114.50638295326213,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.9, 'e': 0.9551870159923992}",20,0,-55.61272940995754,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9522719041481594}",20,0,-37.475174923243735,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.949365688862313}",35,3,-83.74736653000417,"{0: 23, 1: 4, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.9464683429836716}",25,0,-112.9651159640693,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.9435798394439086}",25,0,-185.87165673296582,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0.9407001512573067}",25,0,-299.27021319070786,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 6}",0
2,True,"{'a': 0, 'e': 1.0}",20,0,-114.93710514364508,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 1.0}",20,5,-125.61359499284804,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 1.0}",20,0,-120.24789006016276,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 1.0}",25,0,-153.9410448645439,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 1.0}",35,0,-164.81018664515855,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 1.0}",20,0,-13.111402627308347,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 1.0}",25,0,-204.6469183540131,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 1.0}",20,0,-181.35288582890726,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 1.0}",35,0,-257.7274471878646,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
