trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,3,-29.624694700370394,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.9969481245081507}",20,0,-113.95784716210345,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9939055629603193}",25,0,-155.6365019088155,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.9908722869315081}",25,0,-146.63477565847944,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.9878482680834691}",25,0,-191.6245179888046,"{0: 14, 1: 6, 2: 1, 3: 0, 4: 4}",0
6,False,"{'a': 0.9, 'e': 0.9848334781644396}",25,0,-100.77241987499909,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.9818278890088769}",25,0,-165.2779275348991,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9788314725371966}",20,0,-105.56402438936682,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9758442007555096}",30,0,-265.2412903365733,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.9, 'e': 0.9728660457553607}",20,0,-95.76755340734721,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9698969797134677}",25,0,-39.46835206484453,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.9669369748914615}",25,0,-188.84086810975705,"{0: 9, 1: 4, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.9639860036356274}",25,0,-59.86190798630006,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9610440383766462}",20,12,-33.87542829197692,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.9581110516293366}",25,0,-154.15835676060135,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.9551870159923992}",30,0,-130.29289829874958,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.9522719041481594}",20,0,-105.4772742204643,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.949365688862313}",30,0,-157.56809715661598,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.9, 'e': 0.9464683429836716}",35,0,-232.83628683611906,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.9435798394439086}",20,0,-156.0866135709563,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0.9407001512573067}",20,0,-62.21239008440779,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 1.0}",30,0,-215.15801083732467,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 1.0}",25,0,-82.1451950899934,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 1.0}",30,0,-282.8734046428351,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
5,True,"{'a': 0, 'e': 1.0}",25,0,-93.30872637929136,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 1.0}",30,0,-240.10297695589279,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 1.0}",20,0,-54.804317131414834,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 1.0}",20,0,-19.527853244092704,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 1.0}",30,0,-195.13327817431565,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 1.0}",20,0,-75.67107578755694,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
